# word | phonetic | pos. | meaning | example | topic
unconverted | /.ʌnkәn'vә:tid/ |  | a. 未转变的, 不变化的, 不改变信仰的；未悔改的, 未脱罪的, 不改的 |  | general
uncharitable | /.ʌn'tʃæritәbl/ |  | a. 无慈悲心的, 无情的, 不宽厚的 |  | general
tensely |  | adv. | 拉紧地；紧张地 |  | general
cozily | /'kәuzili/ | adv. | 舒适地, 安乐地, 安逸地 |  | general
suggestively | /sə'dʒestivli/ | adv. | 提示地；引起联想地 |  | general
steadiness | /'stedinis/ | n. | 稳健, 坚定, 不变 |  | general
goober | /'gu:bә/ | n. | 落花生, 皮肤上的小疙瘩 |  | general
roofless | /'ru:flis/ |  | a. 无屋顶的, 无家的, 无屋可住的 |  | general
pneumatology | /.nju:mә'tɒlәdʒi/ | n. | 灵物学, 圣灵论, 气体(治疗)学；气体学 |  | health
overpopulation | /әjvәpɔpjj'leiʃ(ә)n/ | n. | 人口过剩；人口过剩 |  | society
oppressively | /ə'presɪvlɪ/ | adv. | 沉重地；烦闷地 |  | general
nutritionally |  | adv. | 滋养地 |  | health
molasses | /mә'læsiz/ | n. | 糖蜜；糖蜜 |  | general
loftily | /'lɒftili/ | adv. | 高尚地, 傲慢地 |  | general
spica | /spik/ | n. | 穗状花序, 人字形绷带, 角宿一；人字形绷带 |  | general
akimbo | /ә'kimbәu/ |  | a. 两手叉腰的；adv. 两手叉腰 |  | general
boffo | /'bɔfәu/ |  | a. 受欢迎的, 极成功的 |  | general
advancer | /әd'vɑ:nsә/ | n. | 前进者；相位超前补偿器, 进相机 |  | general
unfurnished | /'ʌn'fә:niʃt/ |  | a. 无供给的, 无装备的, 无家具设备的 |  | technology
thalidomide | /θә'lidәmaid/ | n. | 萨力多胺；沙利度胺 |  | health
sumo | /'sju:mәu/ | n. | （日）相扑 |  | culture
crankcase | /'kræŋkkeis/ | n. | 曲轴箱；曲柄箱 |  | general
quicksilver | /'kwiksilvә/ | n. | 水银, 汞；vt. 涂水银于 |  | general
hajj | /hædʒ/ | n. | 麦加朝圣 |  | culture
overlie | /,әuvә'lai/ | v. | 躺在...上面, 压在...上面, 盖得使窒 |  | general
corporeality | /kɒ:.pɒ:ri'æliti/ | n. | 物质性, 肉体的存在 |  | general
roominess | /'ru:minis/ | n. | 广阔 |  | general
creditworthiness | /'kredɪtwɜ:ðɪnəs/ | n. | 商誉 |  | general
prolactin | /prә'læktin/ | n. | 催乳激素；促乳素 |  | culture
citizenry | /'sitizәnri/ | n. | 市民；市民 |  | general
brushwood | /'brʌʃwud/ | n. | 柴, 柴枝, 灌木丛 |  | general
roc | /rɒk/ | n. | 大鹏, 大鹏式制导炸弹 |  | general
abolishment | /ә'bɒliʃmәnt/ | n. | 废止, 革除, 消灭；废止, 废除, 取消 |  | general
