# word | phonetic | pos. | meaning | example | topic
prioress | /'praiәris/ | n. | 大女修道院副院长, 小女修道院院长 |  | general
druthers | /'drʌðәz/ | n. | 选择, 偏爱 |  | general
compartmentalization |  |  | 区室化 |  | general
enalapril | /e'nælæprɪl/ |  | 依那普利：转换酶抑制剂, 用于降压；依那普利恩纳普利、苯丁酯脯酸, 影响肾素一血 |  | economy
endolymphatic |  |  | 内淋巴的 |  | general
grisaille | /^ri'zeil/ | n. | 纯以灰色的装饰画法, 纯灰色画 |  | general
estrus | /'estrәs/ | n. | 动情期, 动情周期；动情期 |  | general
ulema | /ˌu:lə'mɑ:/ | n. | 乌理玛（穆斯林国家的学者、宗教权威或法学家）；乌理玛委员会 |  | society
autochthonous | /'ɔ:'tɔkθәnәs/ |  | a. 土著的, 土生土长的, 本地的；本处发生的 |  | general
taekwondo |  | n. | 跆拳道 |  | culture
laterality | /lætә'ræliti/ |  | 偏利 |  | general
falsifiable | /'fɔ:lsɪfaɪəbl/ |  | a. 可以被检验的（试验或是观察的现象） |  | general
maraschino | /,mærәs'ki:nәu/ |  | 马拉斯金酒(樱桃酒的一种) |  | general
stator | /'steitә/ | n. | 定子, 固定片；定子 |  | culture
klutz | /klʌts/ | n. | 笨手笨脚的人, 笨蛋 |  | general
dovish | /'dʌviʃ/ |  | a. 鸽派的, 温和派的 |  | general
arborist | /'ɑ:bɔ:rist/ | n. | 树木栽培家 |  | general
jejunal |  |  | 空肠的 |  | general
peavey | /'pi:vi/ | n. | 尖头搬钩 |  | general
quietude | /'kwaiәtju:d/ | n. | 平静, 寂静 |  | general
shebang | /ʃi'bæŋ/ | n. | 事情, 工作, 陋屋, 住所 |  | work
bratty | /'bræti/ |  | a. 讨厌的, 不服从的 |  | general
unrehearsed | /ʌnrɪ'hɜ:st/ |  | a. 没彩排过的；没有提前准备过的 |  | general
retinol | /'retinɔl/ |  | 维生素A醇, 维生素A1, 瑞叮醇, 松香油 |  | general
mononucleosis | /,mɔnәu,nju:kli:'әusis, -nu:-/ |  | 单核细胞增多 |  | health
rugose | /'ru:^әjs, ru:'^әjs/ |  | 皱褶的, 皱的 |  | general
hitless |  |  | a. hit的变形 |  | general
kabob | /kә'bɒb/ | n. | 烤肉串 |  | general
ambrosia | /æm'brәuʒiә/ | n. | 仙果, 特别美味的食物；豕草属 |  | general
narthex | /'nɑ:θәks/ | n. | 古代礼拜堂的前廊, 教堂前厅 |  | general
sporophyte | /'spɒ:rәfait/ | n. | 孢子体；孢子体(植物) |  | general
grandfatherly | /'^rænd,fɑ:ðәli/ |  | a. 老祖父的, 慈祥的, 老祖父似的 |  | general
mflops |  | abbr. | million floating-point |  | technology
legalese | /,li:^ә'li:z/ | n. | 法律措辞, 法律术语 |  | society
undrained | /ʌnd'reɪnd/ |  | a. 未排水的, 不排水的, 没有水流的 |  | general
victorine | /'viktәri:n/ | n. | 女式皮披肩 |  | general
lithotripsy |  |  | 碎石术 |  | general
incus | /'iŋkәs/ | n. | 砧骨；砧骨 |  | general
preciousness |  | n. | 珍贵；过分讲究 |  | economy
psychophysical |  |  | 精神物理学的 |  | health
albedo | /æl'bi:dәu/ | n. | 反照率；反射率 |  | general
periodontal | /.periәu'dɒntәl/ |  | a. 牙齿周围的, 齿根膜的, 牙周病学的；牙周的, 牙周膜的 |  | general
atenolol |  |  | 阿替洛尔；氨酰心安 |  | economy
correctable |  |  | 可校正的 |  | general
wahoo | /wɑ:'hu:; 'wɑ:hu:/ |  | 美卫矛 |  | general
cli |  | abbr. | 命令行界面（Command Line Int；生活指数（Cost of Living In |  | general
pompadour | /'pɒmpәdɒ:/ | n. | 高卷式发型, 大背头发型, 粉红色 |  | society
anthropic | /æn'θrɔpik/ |  | a. 人类的, 有关人类的 |  | general
guilloche | /gi'lәuʃ/ | n. | 扭索状装饰, 连结环 |  | culture
approver | /ә'pru:vә(r)/ | n. | 批准者, 赞成者；验证程序 |  | technology
quantization | /,kwɔntai'zeiʃәn/ | n. | 量子化；量子化 |  | general
thrombolysis |  |  | 血栓溶解 |  | general
interradial | /,intә(:)'reidiәl/ |  | 射线间的 |  | culture
effendi | /e'fendi/ | n. | <土><敬>阁下, 先生 |  | society
paperboy | /'peɪpərbɔɪ/ | n. | 报童, 送报人 |  | general
codfish | /'kɒdfiʃ/ | n. | 鳕 |  | general
puffiness | /'pʌfɪnəs/ | n. | 膨胀, 肿胀；虚胖 |  | general
untraditional |  |  | 非传统 |  | culture
neediness | /'ni:dinis/ | n. | 穷困, 贫穷 |  | general
digitization | /.didʒitai'zeiʃәn. -ti'z-/ | n. | 数字化, 数位化, 数码化 |  | technology
milady | /mi'leidi/ | n. | 夫人, 时髦女人, 太太 |  | general
habitus | /'hæbitәs/ | n. | 习惯, 体质；体型, 型 |  | health
butyrate | /'bju:tireit/ |  | 丁酸盐(酯或根)；丁酸 |  | general
schlock | /ʃlɔk/ |  | a. 蹩脚的, 廉价的；n. 蹩脚的东西, 廉价的东西 |  | general
spearmint | /'spiәmint/ | n. | 留兰香, 绿薄荷；薄荷 |  | general
